<DATE>;<TIME>;<LAST>;<VOL>;<ID>;<OPER>
20240205;095941;202.160000000;10;9523276088;S
20240205;095941;202.160000000;10;9523276089;B
20240205;095941;202.160000000;150;9523276090;S
20240205;095941;202.160000000;50;9523276091;B
20240205;095941;202.160000000;10;9523276092;B
20240205;095941;202.160000000;40;9523276093;B
20240205;095941;202.160000000;100;9523276094;B
20240205;095941;202.160000000;10;9523276095;B
20240205;095941;202.160000000;500;9523276096;B
20240205;095941;202.160000000;80;9523276097;B
20240205;095941;202.160000000;20;9523276098;S
20240205;095941;202.160000000;10;9523276099;B
20240205;095941;202.160000000;10;9523276100;B
20240205;095941;202.160000000;10;9523276101;B
20240205;095941;202.160000000;10;9523276102;B
20240205;095941;202.160000000;10;9523276103;B
20240205;095941;202.160000000;10;9523276104;B
20240205;095941;202.160000000;10;9523276105;S
20240205;095941;202.160000000;10;9523276106;B
20240205;095941;202.160000000;20;9523276107;B
20240205;095941;202.160000000;10;9523276108;B
20240205;095941;202.160000000;640;9523276109;B
20240205;095941;202.160000000;20;9523276110;S
20240205;095941;202.160000000;20;9523276111;S
20240205;095941;202.160000000;40;9523276112;S
20240205;095941;202.160000000;10;9523276113;S
20240205;095941;202.160000000;10;9523276114;B
20240205;095941;202.160000000;100;9523276115;B
20240205;095941;202.160000000;10;9523276116;B
20240205;095941;202.160000000;40;9523276117;S
20240205;095941;202.160000000;60;9523276118;S
20240205;100000;202.160000000;90;9523283708;B
20240205;100000;202.390000000;10;9523283793;B
20240205;100000;202.390000000;190;9523283825;S
20240205;100000;202.390000000;200;9523284080;S
20240205;100000;202.390000000;200;9523284081;S
20240205;100000;202.390000000;200;9523284082;S
20240205;100000;202.390000000;400;9523284100;S
20240205;100000;202.400000000;20;9523284132;B
20240205;100000;202.400000000;180;9523284133;B
20240205;100000;202.400000000;100;9523284483;B
20240205;100000;202.410000000;1670;9523284493;B
20240205;100000;202.410000000;200;9523284511;B
20240205;100000;202.410000000;100;9523284520;B
20240205;100000;202.410000000;80;9523284530;B
20240205;100000;202.410000000;70;9523284563;B
20240205;100000;202.410000000;10;9523284849;B
20240205;100000;202.410000000;1470;9523284903;B
20240205;100001;202.510000000;40;9523285427;B
20240205;100001;202.520000000;400;9523285527;S
20240205;100001;202.530000000;810;9523285529;B
20240205;100001;202.520000000;1000;9523285578;S
20240205;100001;202.530000000;100;9523286733;B
20240205;100002;202.520000000;50;9523288403;B
20240205;100002;202.520000000;560;9523288404;S
20240205;100003;202.530000000;560;9523288614;B
20240205;100003;202.520000000;10;9523289327;B
20240205;100003;202.520000000;170;9523289329;S
20240205;100004;202.410000000;10;9523289759;S
20240205;100004;202.530000000;620;9523290131;B
20240205;100004;202.540000000;10;9523290837;B
20240205;100005;202.540000000;10;9523291822;B
20240205;100005;202.520000000;10;9523291824;S
20240205;100005;202.520000000;10;9523291831;S
20240205;100005;202.540000000;100;9523291928;B
20240205;100005;202.520000000;10;9523292170;S
20240205;100005;202.520000000;50;9523292177;S
20240205;100005;202.540000000;10;9523292182;B
20240205;100005;202.520000000;10;9523292202;S
20240205;100005;202.520000000;20;9523292204;S
20240205;100005;202.540000000;1270;9523292707;B
20240205;100005;202.550000000;30;9523292708;B
20240205;100006;202.550000000;40;9523293530;B
20240205;100006;202.530000000;10;9523293699;S
20240205;100006;202.550000000;100;9523294156;B
20240205;100006;202.520000000;10;9523294298;S
20240205;100006;202.520000000;10;9523294334;S
20240205;100006;202.520000000;50;9523294359;S
20240205;100006;202.520000000;20;9523295200;S
20240205;100006;202.690000000;10;9523295202;B
20240205;100006;202.520000000;10;9523295207;S
20240205;100006;202.690000000;10;9523295429;B
20240205;100006;202.690000000;50;9523295483;B
20240205;100006;202.520000000;20;9523295510;S
20240205;100006;202.520000000;30;9523295539;S
20240205;100006;202.690000000;10;9523295828;B
20240205;100007;202.600000000;10;9523298323;S
20240205;100007;202.520000000;20;9523298324;S
20240205;100007;202.520000000;10;9523298325;S
20240205;100007;202.500000000;10;9523298326;S
20240205;100007;202.670000000;10;9523298335;B
20240205;100007;202.670000000;10;9523298336;B
20240205;100007;202.690000000;10;9523298452;B
20240205;100007;202.690000000;40;9523298454;B
20240205;100007;202.700000000;60;9523298455;B
20240205;100008;202.690000000;10;9523299501;B
20240205;100008;202.500000000;30;9523299506;S
20240205;100008;202.500000000;10;9523299513;S
20240205;100008;202.670000000;10;9523299886;B
20240205;100008;202.500000000;30;9523300015;S
20240205;100008;202.670000000;10;9523300342;B
20240205;100008;202.670000000;10;9523300541;B
20240205;100008;202.500000000;50;9523300547;S
20240205;100008;202.670000000;10;9523301223;B
20240205;100008;202.670000000;100;9523301224;B
20240205;100008;202.500000000;60;9523301225;S
20240205;100008;202.690000000;10;9523301444;B
20240205;100008;202.690000000;10;9523301446;B
20240205;100010;202.660000000;130;9523303606;S
20240205;100010;202.670000000;50;9523303718;B
20240205;100010;202.680000000;100;9523304063;S
20240205;100011;202.500000000;20;9523304539;S
20240205;100011;202.660000000;10;9523304591;S
20240205;100011;202.500000000;190;9523304766;S
20240205;100012;202.660000000;20;9523304986;S
20240205;100012;202.670000000;20;9523305106;B
20240205;100013;202.650000000;130;9523305952;S
20240205;100014;202.530000000;10;9523306358;S
20240205;100014;202.670000000;50;9523306669;S
20240205;100016;202.560000000;40;9523308304;S
20240205;100016;202.550000000;260;9523308305;S
20240205;100019;202.690000000;100;9523310231;B
20240205;100020;202.540000000;10;9523310606;S
20240205;100022;202.600000000;220;9523312234;B
20240205;100024;202.680000000;270;9523313195;S
20240205;100024;202.690000000;100;9523313360;B
20240205;100025;202.680000000;90;9523313476;S
20240205;100026;202.550000000;10;9523313878;S
20240205;100026;202.550000000;10;9523313968;S
20240205;100026;202.540000000;30;9523313969;S
20240205;100026;202.690000000;20;9523313978;B
20240205;100026;202.530000000;180;9523314051;S
20240205;100026;202.530000000;20;9523314070;S
20240205;100026;202.690000000;20;9523314314;B
20240205;100026;202.700000000;110;9523314315;B
20240205;100026;202.700000000;30;9523314316;B
20240205;100026;202.710000000;400;9523314317;B
20240205;100027;202.740000000;30;9523314670;B
20240205;100027;202.740000000;10;9523314671;B
20240205;100027;202.760000000;60;9523314672;B
20240205;100028;202.550000000;60;9523315270;S
20240205;100029;202.550000000;20;9523315690;S
20240205;100029;202.730000000;170;9523315750;S
20240205;100030;202.720000000;160;9523316329;S
20240205;100031;202.720000000;40;9523316796;S
20240205;100033;202.740000000;10;9523318042;B
20240205;100034;202.740000000;70;9523318252;B
20240205;100034;202.780000000;10;9523318341;B
20240205;100034;202.840000000;40;9523318342;B
20240205;100034;202.840000000;80;9523318343;B
20240205;100034;202.850000000;170;9523318344;B
20240205;100037;202.840000000;300;9523319709;S
20240205;100038;202.840000000;110;9523320041;S
20240205;100038;202.710000000;300;9523320042;S
20240205;100038;202.700000000;620;9523320043;S
20240205;100038;202.690000000;3970;9523320044;S
20240205;100039;202.700000000;10;9523320175;S
20240205;100040;202.690000000;1030;9523320528;S
20240205;100040;202.530000000;80;9523320529;S
20240205;100040;202.520000000;400;9523320530;S
20240205;100040;202.510000000;490;9523320531;S
20240205;100040;202.800000000;10;9523320624;B
20240205;100042;202.550000000;200;9523321205;S
20240205;100044;202.760000000;10;9523321824;S
20240205;100048;202.820000000;70;9523323347;S
20240205;100050;202.740000000;10;9523323899;B
20240205;100052;202.740000000;10;9523324894;B
20240205;100057;202.720000000;30;9523326634;S
20240205;100057;202.600000000;50;9523326635;S
20240205;100057;202.720000000;10;9523326903;S
20240205;100100;202.720000000;50;9523327778;S
20240205;100105;202.730000000;10;9523329132;B
20240205;100105;202.730000000;10;9523329156;B
20240205;100105;202.730000000;10;9523329206;B
20240205;100107;202.730000000;1460;9523329748;B
20240205;100107;202.730000000;30;9523329749;B
20240205;100109;202.720000000;130;9523330217;S
20240205;100109;202.720000000;340;9523330244;S
20240205;100109;202.650000000;1250;9523330245;S
20240205;100109;202.600000000;720;9523330246;S
20240205;100118;202.700000000;240;9523333390;B
20240205;100118;202.730000000;70;9523333391;B
20240205;100118;202.730000000;190;9523333392;B
20240205;100120;202.730000000;10;9523334000;B
20240205;100130;202.730000000;1000;9523336858;B
20240205;100135;202.720000000;100;9523338155;S
20240205;100135;202.700000000;50;9523338156;S
20240205;100140;202.700000000;240;9523339872;S
20240205;100141;202.700000000;710;9523340200;S
20240205;100141;202.650000000;1250;9523340201;S
20240205;100141;202.600000000;480;9523340202;S
20240205;100141;202.600000000;1250;9523340203;S
20240205;100141;202.600000000;30;9523340204;S
20240205;100141;202.590000000;100;9523340206;B
20240205;100143;202.560000000;20;9523340493;S
20240205;100143;202.550000000;330;9523340494;S
20240205;100144;202.550000000;30;9523341046;S
20240205;100144;202.590000000;30;9523341086;B
20240205;100146;202.590000000;70;9523341407;B
20240205;100150;202.580000000;50;9523342639;S
20240205;100150;202.550000000;30;9523342640;S
20240205;100153;202.560000000;260;9523343776;S
20240205;100155;202.570000000;40;9523344664;S
20240205;100156;202.590000000;10;9523345008;B
20240205;100159;202.590000000;20;9523346021;B
20240205;100200;202.580000000;290;9523346212;S
20240205;100201;202.590000000;10;9523346462;B
20240205;100203;202.580000000;270;9523347179;S
20240205;100203;202.560000000;200;9523347180;S
20240205;100203;202.550000000;530;9523347181;S
20240205;100211;202.590000000;1250;9523349628;B
20240205;100211;202.590000000;20;9523349629;B
20240205;100211;202.590000000;10;9523349630;B
20240205;100215;202.600000000;10;9523350565;B
20240205;100216;202.600000000;70;9523350757;B
20240205;100216;202.600000000;10;9523350934;B
20240205;100218;202.590000000;720;9523351485;S
20240205;100218;202.560000000;100;9523351494;S
20240205;100218;202.550000000;90;9523351495;S
20240205;100219;202.590000000;280;9523351798;B
20240205;100219;202.590000000;810;9523351799;B
20240205;100223;202.580000000;80;9523353492;S
20240205;100223;202.570000000;50;9523353493;S
20240205;100223;202.550000000;70;9523353494;S
20240205;100224;202.590000000;10;9523353779;B
20240205;100226;202.580000000;50;9523354184;S
20240205;100228;202.580000000;10;9523354872;S
20240205;100231;202.580000000;10;9523356226;S
20240205;100232;202.590000000;10;9523356459;B
20240205;100233;202.580000000;230;9523356838;S
20240205;100233;202.560000000;20;9523356839;S
20240205;100233;202.550000000;70;9523356840;S
20240205;100234;202.560000000;10;9523356941;S
20240205;100234;202.550000000;160;9523356942;S
20240205;100237;202.560000000;10;9523357801;S
20240205;100237;202.550000000;90;9523357802;S
20240205;100239;202.560000000;10;9523358705;S
20240205;100243;202.550000000;1500;9523359807;S
20240205;100245;202.550000000;50;9523360130;S
20240205;100246;202.590000000;50;9523360383;B
20240205;100246;202.550000000;2050;9523360404;S
20240205;100246;202.550000000;600;9523360405;S
20240205;100246;202.510000000;1000;9523360406;S
20240205;100246;202.510000000;180;9523360407;S
20240205;100246;202.500000000;340;9523360408;S
20240205;100246;202.500000000;1080;9523360409;S
20240205;100248;202.500000000;3920;9523360848;S
20240205;100249;202.490000000;10;9523360941;B
20240205;100249;202.460000000;10;9523360942;S
20240205;100249;202.450000000;10;9523360957;B
20240205;100249;202.390000000;100;9523360979;S
20240205;100259;202.460000000;20;9523363250;B
20240205;100302;202.450000000;30;9523364118;B
20240205;100312;202.410000000;100;9523366357;S
20240205;100314;202.450000000;10;9523367094;B
20240205;100315;202.450000000;10;9523367315;B
20240205;100318;202.410000000;700;9523367871;S
20240205;100318;202.400000000;150;9523368026;S
20240205;100318;202.400000000;10;9523368027;S
20240205;100321;202.420000000;20;9523369274;B
20240205;100322;202.390000000;10;9523369363;S
20240205;100339;202.370000000;10;9523372850;B
20240205;100339;202.370000000;30;9523372855;B
20240205;100340;202.360000000;30;9523372958;S
20240205;100340;202.310000000;460;9523372959;S
20240205;100340;202.310000000;40;9523372960;S
20240205;100340;202.300000000;10;9523372961;S
20240205;100340;202.300000000;100;9523372962;S
20240205;100340;202.300000000;10;9523372963;S
20240205;100340;202.300000000;90;9523372964;S
20240205;100341;202.370000000;1450;9523373198;B
20240205;100341;202.370000000;210;9523373199;B
20240205;100341;202.370000000;40;9523373200;B
20240205;100341;202.380000000;300;9523373201;B
20240205;100342;202.300000000;60;9523373678;S
20240205;100348;202.370000000;20;9523375204;B
20240205;100349;202.300000000;50;9523375315;S
20240205;100349;202.290000000;10;9523375316;S
20240205;100349;202.280000000;10;9523375317;S
20240205;100349;202.270000000;10;9523375318;S
20240205;100349;202.250000000;40;9523375319;S
20240205;100349;202.250000000;440;9523375320;S
20240205;100349;202.240000000;180;9523375321;S
20240205;100350;202.210000000;10;9523375415;S
20240205;100352;202.210000000;40;9523376112;S
20240205;100352;202.200000000;10;9523376113;S
20240205;100354;202.320000000;20;9523376842;B
20240205;100401;202.300000000;100;9523378378;B
20240205;100401;202.320000000;90;9523378379;B
20240205;100404;202.310000000;1490;9523379000;B
20240205;100404;202.320000000;10;9523379001;B
20240205;100408;202.220000000;40;9523379919;S
20240205;100408;202.210000000;510;9523379920;S
20240205;100408;202.210000000;10;9523379921;S
20240205;100408;202.200000000;270;9523379922;S
20240205;100408;202.200000000;10;9523379923;S
20240205;100408;202.200000000;10;9523379924;S
20240205;100408;202.190000000;50;9523379925;S
20240205;100408;202.180000000;180;9523379926;S
20240205;100408;202.160000000;20;9523379927;S
20240205;100408;202.160000000;210;9523379928;S
20240205;100408;202.150000000;10;9523379929;S
20240205;100408;202.150000000;1000;9523379930;S
20240205;100408;202.150000000;300;9523379931;S
20240205;100408;202.140000000;10;9523379932;S
20240205;100408;202.130000000;20;9523379933;S
20240205;100408;202.120000000;10;9523379934;S
20240205;100408;202.120000000;100;9523379935;S
20240205;100408;202.120000000;10;9523379936;S
20240205;100408;202.110000000;50;9523379937;S
20240205;100408;202.110000000;10;9523379938;S
20240205;100408;202.110000000;10;9523379939;S
20240205;100408;202.110000000;50;9523379940;S
20240205;100408;202.110000000;10;9523379941;S
20240205;100408;202.110000000;10;9523379942;S
20240205;100408;202.110000000;250;9523379943;S
20240205;100408;202.110000000;10;9523379944;S
20240205;100408;202.110000000;3300;9523379945;S
20240205;100409;202.200000000;10;9523380125;S
20240205;100409;202.120000000;10;9523380126;S
20240205;100417;202.130000000;30;9523381861;S
20240205;100417;202.130000000;10;9523381862;S
20240205;100417;202.120000000;730;9523381863;S
20240205;100417;202.110000000;1700;9523381864;S
20240205;100417;202.100000000;30;9523381865;S
20240205;100417;202.100000000;10;9523381866;S
20240205;100417;202.100000000;1000;9523381867;S
20240205;100417;202.100000000;10;9523381868;S
20240205;100417;202.100000000;10;9523381869;S
20240205;100417;202.100000000;10;9523381870;S
20240205;100417;202.100000000;610;9523381871;S
20240205;100417;202.100000000;10;9523381872;S
20240205;100417;202.100000000;10;9523381873;S
20240205;100417;202.100000000;5000;9523381874;S
20240205;100417;202.100000000;830;9523381875;S
20240205;100418;202.110000000;340;9523381940;S
